0xbfd40000	0xa5a55a5a
0xbfd40004	0x71a9a29d
0xbfd40008	0x8112420
0xbfd4000c	0x400115
0xbfd40010	0x613e2171
0xbfd40014	0x0
0xbfd40018	0x56
0xbfd4001c	0x0
0xbfd40020	0x0
0xbfd40024	0x0
0xbfd40028	0x0
0xbfd4002c	0x1
0xbfd40030	0x1
0xbfd40034	0x1
0xbfd40038	0x1
0xbfd4003c	0x0
0xbfd40040	0x0
0xbfd40044	0x0
0xbfd40048	0x0
0xbfd4004c	0x64
0xbfd40050	0x320
0xbfd40054	0x320
0xbfd40058	0x1f4
0xbfd4005c	0x64
0xbfd40060	0x3e8
0xbfd40064	0x3e8
0xbfd40068	0x7d0
0xbfd4006c	0xffffffe7
0xbfd40070	0xffffffce
0xbfd40074	0xffffffce
0xbfd40078	0xfffffff6
0xbfd4007c	0x3e8
0xbfd40080	0x3a98
0xbfd40084	0x3a98
0xbfd40088	0x1770
0xbfd4008c	0x30d40
0xbfd40090	0x3e418
0xbfd40094	0x3e418
0xbfd40098	0x927c0
0xbfd4009c	0x1388
0xbfd400a0	0x2710
0xbfd400a4	0x2710
0xbfd400a8	0x4e20
0xbfd400ac	0x4e20
0xbfd400b0	0xc350
0xbfd400b4	0xc350
0xbfd400b8	0x186a0
0xbfd400bc	0x4e20
0xbfd400c0	0xafc8
0xbfd400c4	0xafc8
0xbfd400c8	0x186a0
0xbfd400cc	0x11170
0xbfd400d0	0x4e20
0xbfd400d4	0x4e20
0xbfd400d8	0x1adb0
0xbfd400dc	0x14
0xbfd400e0	0x5f
0xbfd400e4	0x5f
0xbfd400e8	0x50
0xbfd400ec	0x1e
0xbfd400f0	0x4b
0xbfd400f4	0x4b
0xbfd400f8	0x3c
0xbfd400fc	0x1
0xbfd40100	0x1
0xbfd40104	0x1
0xbfd40108	0x1
0xbfd4010c	0xbb8
0xbfd40110	0x1388
0xbfd40114	0x1388
0xbfd40118	0x2710
0xbfd4011c	0x41b80000
0xbfd40120	0x41c26666
0xbfd40124	0x41c26666
